dep_city_name,arr_city_name,dep_city_code,arr_city_code,url,dep_country_code,arr_country_code,Keywords,Search volume
Macau,Bangkok,MFM,BKK,macau-bangkok-flights.html,MO,TH,macau to bangkok flights,390
Luxembourg,Milan,LUX,MIL,luxembourg-milan-flights.html,LU,IT,luxembourg to milan flights,390
Toronto,Sarnia,YTO,YZR,toronto-sarnia-flights.html,CA,CA,toronto to sarnia flights,390
New York,Charlottesville,NYC,CHO,new-york-charlottesville-flights.html,US,US,new york to charlottesville flights,390
Marseille,Barcelona,MRS,BCN,marseille-barcelona-flights.html,FR,ES,marseille to barcelona flights,390
Sapporo,Osaka,SPK,OSA,sapporo-osaka-flights.html,JP,JP,sapporo to osaka flights,390
Columbus,Los Angeles,CMH,LAX,columbus-los-angeles-flights.html,US,US,columbus to los angeles flights,390
London,Baltimore,LON,BWI,london-baltimore-flights.html,GB,US,london to baltimore flights,390
Denver,Wichita,DEN,ICT,denver-wichita-flights.html,US,US,denver to wichita flights,390
Tucson,Houston,TUS,HOU,tucson-houston-flights.html,US,US,tucson to houston flights,390
Milan,Malta,MIL,MLA,milan-malta-flights.html,IT,MT,milan to malta flights,390
Beijing,Toronto,BJS,YTO,beijing-toronto-flights.html,CN,CA,beijing to toronto flights,390
New Delhi,Vijayawada,DEL,VGA,new-delhi-vijayawada-flights.html,IN,IN,new delhi to vijayawada flights,390
Auckland,Houston,AKL,HOU,auckland-houston-flights.html,NZ,US,auckland to houston flights,390
Columbus,New Orleans,CMH,MSY,columbus-new-orleans-flights.html,US,US,columbus to new orleans flights,390
Los Angeles,Kansas City,LAX,MKC,los-angeles-kansas-city-flights.html,US,US,los angeles to kansas city flights,390
Wagga Wagga,Sydney,WGA,SYD,wagga-wagga-sydney-flights.html,AU,AU,wagga wagga to sydney flights,390
Athens,Paros,ATH,PAS,athens-paros-flights.html,GR,GR,athens to paros flights,390
Dayton,Atlanta,DAY,ATL,dayton-atlanta-flights.html,US,US,dayton to atlanta flights,390
Casablanca,Marrakech,CAS,RAK,casablanca-marrakech-flights.html,MA,MA,casablanca to marrakech flights,390
Albuquerque,Houston,ABQ,HOU,albuquerque-houston-flights.html,US,US,albuquerque to houston flights,390
North Bay,Toronto,YYB,YTO,north-bay-toronto-flights.html,CA,CA,north bay to toronto flights,390
Amsterdam,Norwich,AMS,NWI,amsterdam-norwich-flights.html,NL,GB,amsterdam to norwich flights,390
Guwahati,Jorhat,GAU,JRH,guwahati-jorhat-flights.html,IN,IN,guwahati to jorhat flights,390
Dehradun,Chennai,DED,MAA,dehradun-chennai-flights.html,IN,IN,dehradun to chennai flights,390
Charlotte,Paris,CLT,PAR,charlotte-paris-flights.html,US,FR,charlotte to paris flights,390
Detroit,Portland,DTT,PWM,detroit-portland-flights.html,US,US,detroit to portland flights,390
Madrid,Los Angeles,MAD,LAX,madrid-los-angeles-flights.html,ES,US,madrid to los angeles flights,390
Siem Reap,Kuala Lumpur,REP,KUL,siem-reap-kuala-lumpur-flights.html,KH,MY,siem reap to kuala lumpur flights,390
Hong Kong,Male,HKG,MLE,hong-kong-male-flights.html,HK,MV,hong kong to male flights,390
Busan,Tokyo,PUS,TYO,busan-tokyo-flights.html,KR,JP,busan to tokyo flights,390
Baltimore,Tampa,BWI,TPA,baltimore-tampa-flights.html,US,US,baltimore to tampa flights,390
Madrid,Santiago,MAD,SCL,madrid-santiago-flights.html,ES,CL,madrid to santiago flights,390
Jeddah,Sialkot,JED,SKT,jeddah-sialkot-flights.html,SA,PK,jeddah to sialkot flights,390
Latrobe,Myrtle Beach,LBE,MYR,latrobe-myrtle-beach-flights.html,US,US,latrobe to myrtle beach flights,390
Milwaukee,Philadelphia,MKE,PHL,milwaukee-philadelphia-flights.html,US,US,milwaukee to philadelphia flights,390
Sacramento,Nashville,SAC,BNA,sacramento-nashville-flights.html,US,US,sacramento to nashville flights,390
Ljubljana,Prague,LJU,PRG,ljubljana-prague-flights.html,SI,CZ,ljubljana to prague flights,390
Houston,San Jose,HOU,SJO,houston-san-jose-flights.html,US,CR,houston to san jose flights,390
Bucharest,Milan,BUH,MIL,bucharest-milan-flights.html,RO,IT,bucharest to milan flights,390
Gisborne,Auckland,GIS,AKL,gisborne-auckland-flights.html,NZ,NZ,gisborne to auckland flights,390
Medford,Seattle,MFR,SEA,medford-seattle-flights.html,US,US,medford to seattle flights,390
Broken Hill,Sydney,BHQ,SYD,broken-hill-sydney-flights.html,AU,AU,broken hill to sydney flights,390
Istanbul,Madrid,IST,MAD,istanbul-madrid-flights.html,TR,ES,istanbul to madrid flights,390
Darwin,Kununurra,DRW,KNX,darwin-kununurra-flights.html,AU,AU,darwin to kununurra flights,390
Kathmandu,Kuala Lumpur,KTM,KUL,kathmandu-kuala-lumpur-flights.html,NP,MY,kathmandu to kuala lumpur flights,390
Boston,Oslo,BOS,OSL,boston-oslo-flights.html,US,NO,boston to oslo flights,390
Miami,Raleigh,MIA,RDU,miami-raleigh-flights.html,US,US,miami to raleigh flights,390
Savannah,Philadelphia,SAV,PHL,savannah-philadelphia-flights.html,US,US,savannah to philadelphia flights,390
Ilorin,Abuja,ILR,ABV,ilorin-abuja-flights.html,NG,NG,ilorin to abuja flights,390
Guadalajara,Los Angeles,GDL,LAX,guadalajara-los-angeles-flights.html,MX,US,guadalajara to los angeles flights,390
Houston,Monterrey,HOU,MTY,houston-monterrey-flights.html,US,MX,houston to monterrey flights,390
Cairns,Hamilton Island,CNS,HTI,cairns-hamilton-island-flights.html,AU,AU,cairns to hamilton island flights,390
Abha,Riyadh,AHB,RUH,abha-riyadh-flights.html,SA,SA,abha to riyadh flights,390
Frankfurt,Vancouver,FRA,YVR,frankfurt-vancouver-flights.html,DE,CA,frankfurt to vancouver flights,390
Lanzarote,Glasgow,ACE,GLA,lanzarote-glasgow-flights.html,ES,GB,lanzarote to glasgow flights,390
Los Angeles,Montreal,LAX,YMQ,los-angeles-montreal-flights.html,US,CA,los angeles to montreal flights,390
Trivandrum,Doha,TRV,DOH,trivandrum-doha-flights.html,IN,QA,trivandrum to doha flights,390
Johannesburg,Zurich,JNB,ZRH,johannesburg-zurich-flights.html,ZA,CH,johannesburg to zurich flights,390
Waterloo,Chicago,ALO,CHI,waterloo-chicago-flights.html,US,US,waterloo to chicago flights,390
Toronto,St Louis,YTO,STL,toronto-st-louis-flights.html,CA,US,toronto to st louis flights,390
Cairo,Munich,CAI,MUC,cairo-munich-flights.html,EG,DE,cairo to munich flights,390
Split,Paris,SPU,PAR,split-paris-flights.html,HR,FR,split to paris flights,390
Chandigarh,Dehradun,IXC,DED,chandigarh-dehradun-flights.html,IN,IN,chandigarh to dehradun flights,390
New Delhi,Trivandrum,DEL,TRV,new-delhi-trivandrum-flights.html,IN,IN,new delhi to trivandrum flights,390
Istanbul,Singapore,IST,SIN,istanbul-singapore-flights.html,TR,SG,istanbul to singapore flights,390
Catania,Naples,CTA,NAP,catania-naples-flights.html,IT,IT,catania to naples flights,390
Atlantic City,Myrtle Beach,ACY,MYR,atlantic-city-myrtle-beach-flights.html,US,US,atlantic city to myrtle beach flights,390
Oslo,Rome,OSL,ROM,oslo-rome-flights.html,NO,IT,oslo to rome flights,390
Amsterdam,Bordeaux,AMS,BOD,amsterdam-bordeaux-flights.html,NL,FR,amsterdam to bordeaux flights,390
Taipei,Beijing,TPE,BJS,taipei-beijing-flights.html,TW,CN,taipei to beijing flights,390
Portland,Philadelphia,PDX,PHL,portland-philadelphia-flights.html,US,US,portland to philadelphia flights,390
Pietermaritzburg,Cape Town,PZB,CPT,pietermaritzburg-cape-town-flights.html,ZA,ZA,pietermaritzburg to cape town flights,390
Jakarta,Mumbai,JKT,BOM,jakarta-mumbai-flights.html,ID,IN,jakarta to mumbai flights,390
Fort Myers,Denver,FMY,DEN,fort-myers-denver-flights.html,US,US,fort myers to denver flights,390
Hamburg,Rome,HAM,ROM,hamburg-rome-flights.html,DE,IT,hamburg to rome flights,390
Berlin,Kiev,BER,IEV,berlin-kiev-flights.html,DE,UA,berlin to kiev flights,390
Cleveland,Austin,CLE,AUS,cleveland-austin-flights.html,US,US,cleveland to austin flights,390
Providence,Denver,PVD,DEN,providence-denver-flights.html,US,US,providence to denver flights,390
Fort Lauderdale,Seattle,FLL,SEA,fort-lauderdale-seattle-flights.html,US,US,fort lauderdale to seattle flights,390
Lviv,Kiev,LWO,IEV,lviv-kiev-flights.html,UA,UA,lviv to kiev flights,390
Guangzhou,London,CAN,LON,guangzhou-london-flights.html,CN,GB,guangzhou to london flights,390
Manila,Pagadian,MNL,PAG,manila-pagadian-flights.html,PH,PH,manila to pagadian flights,390
Washington,Amsterdam,WAS,AMS,washington-amsterdam-flights.html,US,NL,washington to amsterdam flights,390
Oslo,Bangkok,OSL,BKK,oslo-bangkok-flights.html,NO,TH,oslo to bangkok flights,390
Atlanta,Seoul,ATL,SEL,atlanta-seoul-flights.html,US,KR,atlanta to seoul flights,390
Sydney,Moruya,SYD,MYA,sydney-moruya-flights.html,AU,AU,sydney to moruya flights,390
Boston,Shannon,BOS,SNN,boston-shannon-flights.html,US,IE,boston to shannon flights,390
San Jose,Salt Lake City,SJC,SLC,san-jose-salt-lake-city-flights.html,US,US,san jose to salt lake city flights,390
Munich,Dubai,MUC,DXB,munich-dubai-flights.html,DE,AE,munich to dubai flights,390
Riga,Copenhagen,RIX,CPH,riga-copenhagen-flights.html,LV,DK,riga to copenhagen flights,390
Abu Dhabi,Jakarta,AUH,JKT,abu-dhabi-jakarta-flights.html,AE,ID,abu dhabi to jakarta flights,390
