Carrier_code,carrier_name_en,carrier_name_hi,carrier_name_ar
ET,Ethiopian Air,इथियोपियनएयर,الإثيوبيةللطيران
EU,Chengdu Airlines,चेंगदूएयरलाइंस,خطوطتشنغدوالجوية
EW,Eurowings,युरोवींग्स,أجنحةيورو
EY,Etihad Airways,इतिहादएयरवेज,الاتحادللطيران
F2,Safarilink Aviation,सफरीलींकएवीयेशन,سافاريلينكللملاحةالجوية
F9,Frontier,फ्रंटियर,فرونتير
FB,Bulgaria Air,बुल्गारियाएयर,البلغاريةللطيران
FE,Far Eastern Air Transport,फारईस्टर्नएयरट्रांसपोर्ट,الشرقالأقصىللنقلالجوي
FG,Ariana Afghan Airlines,एरियानाअफगानएयरलाइंस,خطوطأرياناالجويةالأفغانية
FI,Icelandair,आईसलेंडएयर,طيرانأيسلندا
FJ,Fiji Airways,फिजीएयरवेज,خطوطفيجيالجوية
FL,AirTran,एयरट्रान,إيرتران
FM,Shanghai Air,शंघाईएयर,شنغهايللطيران
FN,Regional Air Lines,रीजीअनलएयरलाइन्स,الخطوطالجويةالإقليمية
FO,Felix Airways,फेलिक्सएयरवेज,خطوطفيليكسالجوية
FS,Syphax Airlines,सायफाक्सएयरलाइंस,خطوطصفاقصالجوية
FT,Siem Reap Airways International,सिएमरीपएयरवेजइंटरनेशनल,خطوطسيمريبالجويةالدولية
FW,IBEX Airlines,औबेक्सएयरलाइंस,خطوطأيبيكسالجوية
FY,Firefly,फायरफ्लाय,فايرفلاي
FZ,Flydubai,फ्लायदुबई,Flydubai
G5,China Express Airlines,चाईनाएक्सप्रेसएयरलाइंस,خطوطالصيناكسبرسالجوية
G7,GoJet Airlines,गोजेट एयरलाइंस,خطوطغوجيتالجوية
G8,GoAir,गोएयर,غواير
G9,Air Arabia,एयरअरेबिया,العربيةللطيران
GA,Garuda Indonesia,गरूडाइंडोनेशिया,الخطوطالجويةالإندونيسيةجارودا
GE,TransAsia Corp,ट्रांसएशीयाकॉर्प,شركةخطوطترانسآسيا
GF,Gulf Air,गल्फएयर,طيرانالخليجGulf Air
GJ,Eurofly S.p.A.,युरोफ्लायS.p.A.,يوروفلايإسبيإيهأ.
GK,Jetstar Japan,जेटस्टारजापान,جيتستاراليابان
GL,Air Greenland,एयरग्रीनलैंड,طيرانجرينلاند
GQ,Big Sky Airlines,बिगस्काईएयरलाइंस,خطوطبيجسكايالجوية
GR,Aurigny Air,औरीग्नीएयर,أوريجنيللطيران
GS,Tianjin Airlines,टियांजिन एयरलाइंस,غرانتللملاحةالجوية
GU,AVIATECA,अवीआटेका,آفياتيكا
GV,Sky Gabon,स्काईगैबॉन,سكايغابون
GZ,Air Rarotonga,एयररारोटोंगा,طيرانراروتونجا
H2,Sky Airline,स्काईएयरलाइन,خطوططيرانسكاي
H7,Eagle Air,ईगलएयर,إيغيلللطيران
HD,Air Do,एयरडु,طيراندو
HF,Air Cote DIvoire,एयरकोटेडाईवोरी,طيرانكوتديفوار
HG,FlyNiki,फ्लायनीकी,فلاينيكي
HH,Taban Airlines,टैबन एयरलाइंस,خطوطتابانالجوية
HI,Papillon Airways,पेपीलोनएयरवेज,خطوطبابيلونالجوية
HK,Hamburg Airways,हैम्बर्ग एयरवेज,الخطوطالجويةهامبورغ
HM,Air Seychelles,एयरसेशेल्स,طيرانسيشل
HO,Juneyao Airlines,जुनेयाओएयरलाइंस,خطوطجونياوالجوية
HR,Hahn Air,हैनएयरलाइन्स,خطوطهانالجوية
HU,Hainan Airlines,हैनानएयरलाइंस,خطوطهاينانالجوية
HV,Transavia Airlines,ट्रांसावीआएयरलाइंस,خطوطترانسافياالجوية
HW,North Wright Airways,नॉर्थ राइट एयरवेज,خطوطنورثرايتالجوية
HY,Uzbekistan,उज़्बेकिस्तान,أوزبكستان
I9,Air Italy,एयरइटली,طيرانإيطاليا
IB,Iberia,आइबेरिया,الإيبيرية
ID,Interlink,इंटरलींक,انترلينك
IE,Solomon Airlines,सोलोमनएयरलाइंस,خطوطجزرسليمانالجوية
IF,Islas Airways,इस्लासएयरवेज,الخطوطالجويةإسلاس
IG,Meridiana,मेरीडायना,ميريديانا
IK,Imair Airline,ईमैरएयरलाइन,الخطوطالجويةاي.م.اير
IL,Trigana Air Service,ट्रीगानाएयरसर्वीस,تريغاناللخدماتالجوية
IN,MAT Macedonian Airlines,मेटमकदूनियनएयरलाइंस,الخطوطالجويةالمقدونيةم
IO,IrAero,ईरेरो,إيرآيرو
IR,Iran Air,ईरानएयर,إيرانللطيران
IV,Wind Jet S.p.A.,वाईंडजेट एस पी ए,ويندجيتالمشتركةأ.
IX,Air India Express,एयरइंडियाएक्सप्रेस,طيرانالهندإكسبرس
