airport_code,city_code,airport_name_en,airport_name_ar,airport_name_hi,Address in English,Address in Arabic,,Email,Phone,Website
CIY,SUF,Comiso Airport Vincenzo Magliocco,,,,,,,,
CJA,CJA,Mayor General Fap Armando Revoredo Iglesias Airport,,,,,,,,
CJB,CJB,Coimbatore International Airport,,,,,,,,
CJC,CJC,El Loa International Airport,,,,,,,,
CJF,,,,,,,,,,
CJJ,CJJ,Cheongju International Airport,,,,,,,,
CJL,CJL,Chitral Airport,,,,,,,,
CJM,NAW,Chumphon Airport,,,,,,,,
CJS,CJS,Abraham Gonzlez International Airport,,,,,,,,
CJU,CJU,Jeju International Airport,,,,,,,,
CKB,CKB,North Central West Virginia Airport,,,,,,,,
CKD,,,,,,,,,,
