city_code,city_name_en,city_name_ar,city_name_hi
CGA,Craig,,क्रेग
CGB,Cuiaba,كويابا,कुयबा
CGD,Changde,تشانغده,चंगदे
CGI,Cape Girardeau,كيب جيراردو,केप गिरारदेवू
CGM,Camiguin,كاميجوين,कैमिगुइन
CGN,Cologne,كولونيا,कोलोन
CGO,Zhengzhou,تشنغتشو,झेंग्झौ
CGP,Chittagong,شيتاغونغ,चित्तागोंग
CGQ,Changchun,تشانغتشون,चांगचुन
CGR,Campo Grande,كامبو غراندي,कैंपो ग्रैंड
CGY,Cagayan De Oro,كاجايان دي اورو,कैगयान डी ऑरो
CHA,Chattanooga,تشاتانوغا,चैट्टानूगा 
CHC,Christchurch,كرايستشيرش,क्राइस्टचर्च
CHG,Chaoyang,تشاويانغ,चाओयाँग
CHI,Chicago,شيكاغو,शिकागो
CHO,Charlottesville,شارلوتسفيل,शेर्लोट्सविल
CHQ,Chania,خانيا,चानिया
CHR,Chateauroux,,शॅटोरवू
CHS,Charleston,تشارلستون,चार्ल्सटन
CHT,Chatham Island,,चॅथम आइलैंड
CHU,Chuathbaluk,,छुआटबालुक
CHX,Changuinola,,चेंगिनोला
CHY,Choiseul Bay,,चोसियौल बे
CID,Cedar Rapids,سيدار رابيدز,सीडर रॅपिड्ज़
CIF,Chifeng,تشيفنغ,चिफेंग
CIH,Changzhi,تشانغ تشى,चँगझी
CIJ,Cobija,كوبيخا,कोबिजा
CIK,Chalkyitsik,,चॉकईयिट्सिक
CIT,Chimkent,شيمكنت,चिम्केन्ट
CIU,Sault Ste Marie,سولت سانت ماري,सॉल्ट एसटीई मरी
CIX,Chiclayo,تشيكلايو,चिक्लयो
CIY,Comiso,,कमिसो
CJA,Cajamarca,كاخاماركا,काजमारका
CJB,Coimbatore,كويمباتور,कोयंबटूर
CJC,Calama,كالاما,कलामा
CJF,"","",""
CJJ,Chongju,تشونغجز,चोंग्जु
CJL,Chitral,شيترال,चित्राल
CJM,Chumphon,,चमफन
CJS,Ciudad Juarez,سيوداد خواريز,स्यूदाद जुआरेज़
CJU,Jeju,جيجو,जेजु
CKB,Clarksburg,كلاركسبورغ,क्लार्कस्बर्ग
CKD,Crooked Creek,,क्रुकेड क्रीक
CKG,Chongqing,تشونغتشينغ,चॉंगक़िंग
CKH,Chokurdah,,चोकुर्डाह
CKS,Carajas,كراخاس,कराजस
CKX,"","",""
CKY,Conakry,كوناكري,कोनाक्री
CKZ,Canakkale,,कॅनक्कले
CLE,Cleveland,كليفلاند,क्लीवलैंड
CLJ,Cluj,كلوج,क्लुज
CLL,College Station,كوليج ستيشن,कॉलेज स्टेशन
CLO,Cali,كالي,कॅली
CLP,"","",""
CLQ,Colima,كوليما,कोलीमा
CLT,Charlotte,شارلوت,शेर्लोट
CLV,Caldas Novas,,कॉल्डस नोवस
CLY,Calvi,كالفي,काल्वी
CMA,Cunnamulla,,कन्नमला
CMB,Colombo,كولومبو,कोलंबो
CME,Ciudad Del Carmen,سيوداد ديل كارمن,सिउदाद डेल कारमेन
CMF,Chambery,شامبيري,शैमबेरी
CMG,Corumba,,कोरूमबा
CMH,Columbus,كولومبوس,कोलंबस
CMI,Champaign,تشامبيغن,चम्पैग्न
CMK,Club Makokola,,क्लब मकोकोला
CMW,Camaguey,كماغوي,कामागुए
CMX,Hancock,هانكوك,हैनकॉक
CND,Constanta,كونستانتسا,कोन्स्टांता
CNJ,Cloncurry,كلونكيري,क्लोंकरी
CNM,Carlsbad,كارلسباد,कार्लस्बॅड
