carrier_code,publish_status,table_airline_name,table_url,yml_airline_name,yml_url
SO,active,Apex Airlines Myanmar,apex-myanmar-airlines,Apex Airlines Myanmar,apex-myanmar-airlines
SOR,active,Sonair,sonair-airlines,Sonair,sonair-airlines
SQM,active,Siam Air Transport Company Limited,siam-air-transport-company-limited-airlines,Siam Air Transport Company Limited,siam-air-transport-company-limited-airlines
SRN,active,Sprintair,sprintair-airlines,Sprintair,sprintair-airlines
SS,active,Corsair,corsair-airlines,Corsair,corsair-airlines
SSQ,active,Sunstate Airlines,sunstate-airlines,Sunstate Airlines,sunstate-airlines
SXG,active,Sterling Transportation,sterling-transportation-airlines,"Sterling Transportation, Inc.",sterling-transportation-inc-airlines
T0,active,Trans American Airlines Dba Taca Peru,trans-american-dba-taca-peru-airlines,Trans American Airlines Dba Taca Peru,trans-american-dba-taca-peru-airlines
T2,active,Fly Art,fly-art-airlines,Fly Art,fly-art-airlines
T4,active,Rhoades Aviation Inc.,rhoades-aviation-inc-airlines,Rhoades Aviation Inc.,rhoades-aviation-inc-airlines
T6,active,Airswift,airswift-airlines,Airswift,airswift-airlines
T8,active,Mcs Aerocarga De Mexico,mcs-aerocarga-de-mexico-airlines,Mcs Aerocarga De Mexico,mcs-aerocarga-de-mexico-airlines
TAH,active,Air Moorea,air-moorea-airlines,Air Moorea,air-moorea-airlines
TB,active,Tui Fly Belgium,tui-fly-belgium-airlines,Tui Fly Belgium,tui-fly-belgium-airlines
TE,inactive,Skytaxi,,Lithuanian  Airlines,lithuanian-airlines
TEZ,active,Tez Jet Airlines,tez-jet-airlines,Tez Jet Airlines,tez-jet-airlines
TH,active,Raya Airways,raya-airways-airlines,Raya Airways,raya-airways-airlines
THU,active,Thunder Airlines,thunder-airlines,Thunder Airlines,thunder-airlines
TI,active,Tropic Ocean Airways,tropic-ocean-airways-airlines,Tropic Ocean Airways,tropic-ocean-airways-airlines
TJ,inactive,Tradewind Aviation,,Tradewind Aviation,tradewind-aviation-airlines
TNA,active,Transasia Airways,transasia-airways-airlines,Transasia Airways,transasia-airways-airlines
TO,active,Transavia.Com France,transaviacom-france-airlines,Transavia.Com France,transaviacom-france-airlines
TOM,active,Tui Airways,tui-airways-airlines,Tui Airways,tui-airways-airlines
TRH,active,Turuhan Airlines,turuhan-airlines,Turuhan Airlines,turuhan-airlines
TRJ,active,Trujet,trujet-airlines,Trujet,trujet-airlines
TT,active,Tigerair Australia,tigerair-australia-airlines,Tigerair Australia,tigerair-australia-airlines
TUY,active,Linea Turistica Aerotuy,linea-turistica-aerotuy-airlines,Linea Turistica Aerotuy,linea-turistica-aerotuy-airlines
